date,site,ET_mm,n_obs,qflag_mean
2018-01-01,Oran,0.6385000000000001,48,1879.6666666666667
2018-01-01,TzM,0.6149,48,1909.1666666666667
2018-01-02,Oran,0.5298,48,1953.4166666666667
2018-01-02,TzM,0.4365,48,1672.9166666666667
2018-01-03,Oran,0.29635,48,1732.25
2018-01-03,TzM,0.20325000000000001,48,1570.0
2018-01-04,Oran,0.42255000000000004,48,1584.75
2018-01-04,TzM,0.2079,48,1555.25
2018-01-05,Oran,0.49820000000000003,48,1923.9583333333333
2018-01-05,TzM,0.33125000000000004,48,1628.8958333333333
2018-01-06,Oran,0.13075,48,1421.7291666666667
2018-01-06,TzM,0.1427,48,1525.0416666666667
2018-01-07,Oran,0.5944,48,1584.5416666666667
2018-01-07,TzM,0.46045,48,1569.7083333333333
2018-01-08,Oran,0.61145,48,1805.6666666666667
2018-01-08,TzM,0.4324,48,1761.6875
2018-01-09,Oran,0.43405000000000005,48,1658.5
2018-01-09,TzM,0.39415,48,1629.1041666666667
2018-01-10,Oran,0.3118,48,1643.7083333333333
2018-01-10,TzM,0.38185,48,1555.4791666666667
2018-01-11,Oran,0.45355,48,1688.3125
2018-01-11,TzM,0.4616,48,1747.1458333333333
2018-01-12,Oran,0.61345,48,1746.5833333333333
2018-01-12,TzM,0.6194000000000001,48,1776.1666666666667
2018-01-13,Oran,0.44770000000000004,48,1555.0833333333333
2018-01-13,TzM,0.51025,48,1451.3541666666667
2018-01-14,Oran,0.37585,48,1319.1041666666667
2018-01-14,TzM,0.391,48,1363.3541666666667
2018-01-15,Oran,0.5688500000000001,48,1820.2916666666667
2018-01-15,TzM,0.5827,48,1820.3333333333333
2018-01-16,Oran,0.6516500000000001,47,1983.0
2018-01-16,TzM,0.5284500000000001,47,1983.0
2018-01-17,Oran,0.5866,48,1805.8958333333333
2018-01-17,TzM,0.57915,48,1732.0416666666667
2018-01-18,Oran,0.5920000000000001,48,1657.8125
2018-01-18,TzM,0.55255,48,1761.4166666666667
2018-01-19,Oran,0.63565,48,1672.8541666666667
2018-01-19,TzM,0.6223500000000001,48,1687.375
2018-01-20,Oran,0.64735,48,1776.3958333333333
2018-01-20,TzM,0.6618,48,1761.4583333333333
2018-01-21,Oran,0.5937,48,1849.9583333333333
2018-01-21,TzM,0.56205,48,1879.75
2018-01-22,Oran,0.5702,48,1983.0
2018-01-22,TzM,0.41955000000000003,48,1983.0
2018-01-23,Oran,0.5377000000000001,46,1967.5652173913043
2018-01-23,TzM,0.39030000000000004,46,1967.608695652174
2018-01-24,Oran,0.63195,48,1790.9166666666667
2018-01-24,TzM,0.4763,48,1850.0
2018-01-25,Oran,0.46005,48,1598.9791666666667
2018-01-25,TzM,0.2857,48,1584.375
2018-01-26,Oran,0.31175,48,1539.7916666666667
2018-01-26,TzM,0.55935,48,1554.4375
2018-01-27,Oran,0.5766,48,1658.0208333333333
2018-01-27,TzM,0.77775,48,1716.9583333333333
2018-01-28,Oran,0.2136,48,1569.75
2018-01-28,TzM,0.10395,48,1495.7291666666667
2018-01-29,Oran,0.66815,48,1746.4583333333333
2018-01-29,TzM,0.7038000000000001,48,1776.1666666666667
2018-01-30,Oran,0.7071500000000001,48,1731.8958333333333
2018-01-30,TzM,0.5931500000000001,48,1983.0
2018-01-31,Oran,0.79725,48,1613.5416666666667
2018-01-31,TzM,0.6463000000000001,48,1909.3958333333333
2018-02-01,Oran,0.5637,48,1524.6666666666667
2018-02-01,TzM,0.43075,48,1510.1875
2018-02-02,Oran,0.7269,48,1629.0208333333333
2018-02-02,TzM,0.7337,48,1805.8333333333333
2018-02-03,Oran,0.9758500000000001,48,1835.0833333333333
2018-02-03,TzM,0.89275,48,1805.5833333333333
2018-02-04,Oran,0.45785000000000003,48,1274.7083333333333
2018-02-04,TzM,0.29460000000000003,48,1274.6666666666667
2018-02-05,Oran,0.15325,43,1240.5
2018-02-05,TzM,0.36955,48,1319.2916666666667
2018-02-06,Oran,0.22385,48,1437.6666666666667
2018-02-06,TzM,0.29700000000000004,48,1363.8125
2018-02-07,Oran,0.88895,48,1909.25
2018-02-07,TzM,0.7625000000000001,48,1953.5416666666667
2018-02-08,Oran,0.8876000000000001,46,1875.2608695652175
2018-02-08,TzM,0.7304,46,1921.4347826086957
2018-02-09,Oran,0.9307500000000001,48,1717.3958333333333
2018-02-09,TzM,0.7416,48,1761.5625
2018-02-10,Oran,0.77415,47,1576.659574468085
2018-02-10,TzM,0.76405,47,1591.6170212765958
2018-02-11,Oran,1.1367500000000001,48,1879.8125
2018-02-11,TzM,0.9166000000000001,48,1864.9583333333333
2018-02-12,Oran,0.4012,48,1850.2083333333333
2018-02-12,TzM,0.47340000000000004,48,1776.5
2018-02-13,Oran,1.1811,48,1879.7083333333333
2018-02-13,TzM,0.9346,48,1835.4166666666667
2018-02-14,Oran,0.8686,48,1643.6875
2018-02-14,TzM,0.6716,48,1599.25
2018-02-15,Oran,1.2219,48,1732.25
2018-02-15,TzM,0.98355,48,1658.5
2018-02-16,Oran,1.1766,48,1688.0
2018-02-16,TzM,0.89775,48,1702.75
2018-02-17,Oran,1.0519,48,1731.8333333333333
2018-02-17,TzM,0.8571500000000001,48,1643.25
2018-02-18,Oran,0.6917,48,1599.2916666666667
2018-02-18,TzM,0.78115,48,1628.875
2018-02-19,Oran,1.3646,48,1731.75
2018-02-19,TzM,1.1454,48,1628.5833333333333
2018-02-20,Oran,1.12115,48,1909.25
2018-02-20,TzM,1.0804,48,1894.4791666666667
2018-02-21,Oran,1.04695,48,1776.375
2018-02-21,TzM,0.9628500000000001,48,1879.7708333333333
2018-02-22,Oran,1.03235,48,1983.0
2018-02-22,TzM,0.9067000000000001,48,1983.0
2018-02-23,Oran,1.15025,48,1983.0
2018-02-23,TzM,0.8653500000000001,48,1983.0
2018-02-24,Oran,1.0822,48,1983.0
2018-02-24,TzM,0.6524500000000001,48,1983.0
2018-02-25,Oran,1.1584,48,1983.0
2018-02-25,TzM,0.6444500000000001,48,1983.0
2018-02-26,Oran,1.3438,48,1820.5
2018-02-26,TzM,0.80705,48,1850.1041666666667
2018-02-27,Oran,0.10295,48,1510.8333333333333
2018-02-27,TzM,0.03825,48,1481.3333333333333
2018-02-28,Oran,0.6389,48,1511.0
2018-02-28,TzM,0.5135000000000001,48,1481.5
2018-03-01,Oran,0.7104,46,1721.2608695652175
2018-03-01,TzM,0.65885,46,1613.608695652174
2018-03-02,Oran,0.36735,48,1569.5416666666667
2018-03-02,TzM,0.4791,48,1643.3333333333333
2018-03-03,Oran,1.13405,48,1688.0
2018-03-03,TzM,1.0017,48,1570.0
2018-03-04,Oran,0.88815,48,1687.6666666666667
2018-03-04,TzM,0.8965,48,1658.2083333333333
2018-03-05,Oran,0.86445,48,1598.9166666666667
2018-03-05,TzM,0.6715,48,1702.4166666666667
2018-03-06,Oran,1.02055,48,1746.5833333333333
2018-03-06,TzM,0.9465,48,1761.3541666666667
2018-03-07,Oran,1.6605500000000002,48,1687.6666666666667
2018-03-07,TzM,1.31155,48,1746.5833333333333
2018-03-08,Oran,0.9994500000000001,48,1658.5
