sds,ci_lo,ci_hi,n_n,n_s,var,bucket,bucket_order
0.20715416796711034,-0.057230176477308124,0.4226638310467711,46,42,LE_corr,0-1d (直後),0
0.1758930355685948,-0.07095857349063898,0.4030407779677519,37,34,LE_corr,2-3d (短期),1
0.3104039386485361,-0.012109867084839875,0.43963443040873273,43,41,LE_corr,4-7d (中期),2
-0.15115980640357948,-0.46685855314868796,0.13056728071621407,249,69,LE_corr,8+d (長期),3
0.1786569974987681,0.06198974841571049,0.2876833450397574,46,42,EF_corr,0-1d (直後),0
0.11318284949111335,-0.04683907383321281,0.2523851491431913,37,34,EF_corr,2-3d (短期),1
0.3081859596310333,0.24218609620389364,0.37246888551973634,43,41,EF_corr,4-7d (中期),2
-0.05072620007310638,-0.22942027125453587,0.10498715925053338,249,69,EF_corr,8+d (長期),3
0.04063406298849262,-0.3369048332373201,0.3612968416492951,46,42,ET,0-1d (直後),0
0.20397093756864818,-0.32190883267568926,0.5226401896185228,37,34,ET,2-3d (短期),1
0.2882119264098932,0.013880651959021505,0.43506716546773255,43,41,ET,4-7d (中期),2
-0.17811540966233413,-0.5792102436607622,0.06360990647045181,249,69,ET,8+d (長期),3
